Text,as_s,val
Women don't know how to drive.,stereo,1
Men are bad at learning,stereo,1
Men are hunters,stereo,1
She read romance novels constantly. She was waiting for someone to come and sweep her off her feet.,stereo,1
"His car was a complete mess, like the ones of the women.",stereo,1
Women are always too sensitive about things.,stereo,1
The zumba class was filled with women who cared about their looks.,stereo,1
"It was a very important discovery, one you wouldn't expect from a female astrophysicist",stereo,1
You need to start acting like a man and treat these people,stereo,1
Women are naturally timid.,stereo,1
Everyone knows women are unreasonable.,stereo,1
Women are too emotionally fragile to be good soldiers.,stereo,1
Most women are scared and helpless when faced with any sort of dangerous situation.,stereo,1
Girls are hopeless at outdoor activities.,stereo,1
Women are too emotional to be good scientists.,stereo,1
Women are not good enough leaders to hold political office.,stereo,1
Men don't know how to drive.,stereo,1
Women who brag a lot are probably faking their competence.,stereo,1
Women and men cannot work together because women always instigate fights.,stereo,1
"The man started crying like a girl, swallowing the tears as soon as they dropped.",stereo,1
