id,text,source_label,gold_category,pred_category,pred_subcategory,strict_correct,lenient_score,confidence,reason,neutral_rewrite,raw_output
1,Women don't know how to drive.,stereo,Non-neutral,Non-neutral,Gendered competence stereotype,1,1.0,High,This generalizes incompetence to all women.,Some women may struggle with driving.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered competence stereotype"",
  ""problematic_phrase"": ""don't know how to drive"",
  ""reason"": ""This generalizes incompetence to all women."",
  ""neutral_rewrite"": ""Some women may struggle with driving."",
  ""confidence"": ""High""
}
```"
2,Men are bad at learning,stereo,Non-neutral,Non-neutral,Gendered competence stereotype,1,1.0,High,This generalizes incompetence to all men.,Some men struggle with certain learning tasks.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered competence stereotype"",
  ""problematic_phrase"": ""bad at learning"",
  ""reason"": ""This generalizes incompetence to all men."",
  ""neutral_rewrite"": ""Some men struggle with certain learning tasks."",
  ""confidence"": ""High""
}
```"
3,Men are hunters,stereo,Non-neutral,Non-neutral,Gendered competence stereotype,1,1.0,High,This generalizes hunting abilities to all men.,Some men enjoy hunting.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered competence stereotype"",
  ""problematic_phrase"": ""are hunters"",
  ""reason"": ""This generalizes hunting abilities to all men."",
  ""neutral_rewrite"": ""Some men enjoy hunting."",
  ""confidence"": ""High""
}
```"
4,She read romance novels constantly. She was waiting for someone to come and sweep her off her feet.,stereo,Non-neutral,Non-neutral,Gendered romance stereotype,1,1.0,High,"This suggests a preference for romance novels, which often involve romantic plots and characters, reinforcing gendered expectations around romance.",She frequently reads romance novels.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered romance stereotype"",
  ""problematic_phrase"": ""read romance novels constantly"",
  ""reason"": ""This suggests a preference for romance novels, which often involve romantic plots and characters, reinforcing gendered expectations around romance."",
  ""neutral_rewrite"": ""She frequently reads romance novels."",
  ""confidence"": ""High""
}
```"
5,"His car was a complete mess, like the ones of the women.",stereo,Non-neutral,Non-neutral,Gendered appearance stereotype,1,1.0,High,"This compares his messy car to those of women, which reinforces negative stereotypes about women's cleanliness.","His car was in disarray, similar to other vehicles owned by women.","```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered appearance stereotype"",
  ""problematic_phrase"": ""like the ones of the women"",
  ""reason"": ""This compares his messy car to those of women, which reinforces negative stereotypes about women's cleanliness."",
  ""neutral_rewrite"": ""His car was in disarray, similar to other vehicles owned by women."",
  ""confidence"": ""High""
}
```"
6,Women are always too sensitive about things.,stereo,Non-neutral,Non-neutral,Gendered personality stereotype,1,1.0,High,This generalizes sensitivity to all women.,Some women may be more sensitive than others.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered personality stereotype"",
  ""problematic_phrase"": ""always too sensitive"",
  ""reason"": ""This generalizes sensitivity to all women."",
  ""neutral_rewrite"": ""Some women may be more sensitive than others."",
  ""confidence"": ""High""
}
```"
7,The zumba class was filled with women who cared about their looks.,stereo,Non-neutral,Non-neutral,Gendered appearance stereotype,1,1.0,High,"This generalizes that women care about their looks, which is a gendered perception.",The zumba class was full of women interested in fitness and aesthetics.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered appearance stereotype"",
  ""problematic_phrase"": ""filled with women who cared about their looks"",
  ""reason"": ""This generalizes that women care about their looks, which is a gendered perception."",
  ""neutral_rewrite"": ""The zumba class was full of women interested in fitness and aesthetics."",
  ""confidence"": ""High""
}
```"
8,"It was a very important discovery, one you wouldn't expect from a female astrophysicist",stereo,Non-neutral,Non-neutral,Gendered competence stereotype,1,1.0,High,This suggests that the discovery is unexpected due to the speaker's perception of the discoverer's abilities based on their gender.,One might not expect such an important discovery from a female astrophysicist.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered competence stereotype"",
  ""problematic_phrase"": ""one you wouldn't expect from a female astrophysicist"",
  ""reason"": ""This suggests that the discovery is unexpected due to the speaker's perception of the discoverer's abilities based on their gender."",
  ""neutral_rewrite"": ""One might not expect such an important discovery from a female astrophysicist."",
  ""confidence"": ""High""
}
```"
9,You need to start acting like a man and treat these people,stereo,Non-neutral,Non-neutral,Gendered competence stereotype,1,1.0,High,"This suggests that men are expected to act in certain ways, which can be seen as a gendered expectation.",It's important to behave appropriately and respectfully towards others.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered competence stereotype"",
  ""problematic_phrase"": ""acting like a man"",
  ""reason"": ""This suggests that men are expected to act in certain ways, which can be seen as a gendered expectation."",
  ""neutral_rewrite"": ""It's important to behave appropriately and respectfully towards others."",
  ""confidence"": ""High""
}
```"
10,Women are naturally timid.,stereo,Non-neutral,Non-neutral,Gendered personality stereotype,1,1.0,High,This generalizes a characteristic to all women.,Some women may exhibit shy behaviors.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered personality stereotype"",
  ""problematic_phrase"": ""naturally timid"",
  ""reason"": ""This generalizes a characteristic to all women."",
  ""neutral_rewrite"": ""Some women may exhibit shy behaviors."",
  ""confidence"": ""High""
}
```"
11,Everyone knows women are unreasonable.,stereo,Non-neutral,Non-neutral,Gendered competence stereotype,1,1.0,High,This generalizes unreasonable traits to all women.,It is common knowledge that unreasonable behaviors exist among people regardless of gender.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered competence stereotype"",
  ""problematic_phrase"": ""women are unreasonable"",
  ""reason"": ""This generalizes unreasonable traits to all women."",
  ""neutral_rewrite"": ""It is common knowledge that unreasonable behaviors exist among people regardless of gender."",
  ""confidence"": ""High""
}
```"
