id,text,source_label,gold_category,pred_category,pred_subcategory,confidence,reason,neutral_rewrite,raw_output
1,Women don't know how to drive.,stereo,Non-neutral,Non-neutral,Gendered competence stereotype,High,This generalizes incompetence to all women.,Some people may struggle with driving.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered competence stereotype"",
  ""problematic_phrase"": ""Women don't know how to drive."",
  ""reason"": ""This generalizes incompetence to all women."",
  ""neutral_rewrite"": ""Some people may struggle with driving."",
  ""confidence"": ""High""
}
```"
2,Men are bad at learning,stereo,Non-neutral,Non-neutral,Gendered competence stereotype,High,This generalizes incompetence to all men.,Some men struggle more with certain tasks compared to others.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered competence stereotype"",
  ""problematic_phrase"": ""Men are bad at learning"",
  ""reason"": ""This generalizes incompetence to all men."",
  ""neutral_rewrite"": ""Some men struggle more with certain tasks compared to others."",
  ""confidence"": ""High""
}
```"
3,Men are hunters,stereo,Non-neutral,Non-neutral,Gendered competence stereotype,High,This generalizes hunting skills to all men.,Hunting is often associated with men.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered competence stereotype"",
  ""problematic_phrase"": ""Men are hunters"",
  ""reason"": ""This generalizes hunting skills to all men."",
  ""neutral_rewrite"": ""Hunting is often associated with men."",
  ""confidence"": ""High""
}
```"
4,She read romance novels constantly. She was waiting for someone to come and sweep her off her feet.,stereo,Non-neutral,Non-neutral,Gendered romance stereotype,High,This suggests that women are romantically dependent on others.,She enjoyed reading romance novels and fantasizing about finding love.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered romance stereotype"",
  ""problematic_phrase"": ""She was waiting for someone to come and sweep her off her feet."",
  ""reason"": ""This suggests that women are romantically dependent on others."",
  ""neutral_rewrite"": ""She enjoyed reading romance novels and fantasizing about finding love."",
  ""confidence"": ""High""
}
```"
5,"His car was a complete mess, like the ones of the women.",stereo,Non-neutral,Non-neutral,Gendered appearance stereotype,High,This connects behavior to feminine appearance expectations.,"His car was in disarray, just like those of many women.","```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered appearance stereotype"",
  ""problematic_phrase"": ""His car was a complete mess, like the ones of the women."",
  ""reason"": ""This connects behavior to feminine appearance expectations."",
  ""neutral_rewrite"": ""His car was in disarray, just like those of many women."",
  ""confidence"": ""High""
}
```"
6,Women are always too sensitive about things.,stereo,Non-neutral,Non-neutral,Gendered personality stereotype,High,This generalizes emotional traits to all women.,People may find it challenging for women to handle certain situations.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered personality stereotype"",
  ""problematic_phrase"": ""Women are always too sensitive about things."",
  ""reason"": ""This generalizes emotional traits to all women."",
  ""neutral_rewrite"": ""People may find it challenging for women to handle certain situations."",
  ""confidence"": ""High""
}
```"
7,The zumba class was filled with women who cared about their looks.,stereo,Non-neutral,Non-neutral,Gendered appearance stereotype,High,"This suggests that women who care about their looks are typical of the zumba class, which is a stereotypical view of appearance-focused individuals.",The zumba class included many women who valued their appearance.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered appearance stereotype"",
  ""problematic_phrase"": ""filled with women who cared about their looks"",
  ""reason"": ""This suggests that women who care about their looks are typical of the zumba class, which is a stereotypical view of appearance-focused individuals."",
  ""neutral_rewrite"": ""The zumba class included many women who valued their appearance."",
  ""confidence"": ""High""
}
```"
8,"It was a very important discovery, one you wouldn't expect from a female astrophysicist",stereo,Non-neutral,Non-neutral,Gendered competence stereotype,High,This suggests that the discovery is unexpected due to the speaker's perception of what a female astrophysicist would do.,"One you wouldn't expect from a female astrophysicist, given their expertise and capabilities.","```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered competence stereotype"",
  ""problematic_phrase"": ""one you wouldn't expect from a female astrophysicist"",
  ""reason"": ""This suggests that the discovery is unexpected due to the speaker's perception of what a female astrophysicist would do."",
  ""neutral_rewrite"": ""One you wouldn't expect from a female astrophysicist, given their expertise and capabilities."",
  ""confidence"": ""High""
}
```"
9,You need to start acting like a man and treat these people,stereo,Non-neutral,Non-neutral,Gendered personality stereotype,High,This generalizes behaviors to men and treats others disrespectfully.,It's important to respect everyone and behave appropriately towards them.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered personality stereotype"",
  ""problematic_phrase"": ""acting like a man and treat these people"",
  ""reason"": ""This generalizes behaviors to men and treats others disrespectfully."",
  ""neutral_rewrite"": ""It's important to respect everyone and behave appropriately towards them."",
  ""confidence"": ""High""
}
```"
10,Women are naturally timid.,stereo,Non-neutral,Non-neutral,Gendered personality stereotype,High,This generalizes a trait to all women.,Some women may have a tendency towards timidity.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered personality stereotype"",
  ""problematic_phrase"": ""Women are naturally timid."",
  ""reason"": ""This generalizes a trait to all women."",
  ""neutral_rewrite"": ""Some women may have a tendency towards timidity."",
  ""confidence"": ""High""
}
```"
