id,text,source_label,gold_category,pred_category,pred_subcategory,confidence,reason,neutral_rewrite,raw_output
1,Women don't know how to drive.,stereo,Non-neutral,Non-neutral,Occupational gender assumption,High,"The statement implies that women are less competent at driving than men, which is a gendered competence stereotype.",Some people may find it challenging for women to learn to drive compared to men.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Occupational gender assumption"",
  ""problematic_phrase"": ""don't know how to drive"",
  ""reason"": ""The statement implies that women are less competent at driving than men, which is a gendered competence stereotype."",
  ""neutral_rewrite"": ""Some people may find it challenging for women to learn to drive compared to men."",
  ""confidence"": ""High""
}
```"
2,Men are bad at learning,stereo,Non-neutral,Non-neutral,Occupational gender assumption,Medium,This statement makes a generalized claim about all men's abilities without considering individual differences.,"Some people may find it challenging for men to learn certain subjects, but everyone has unique strengths and weaknesses.","```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Occupational gender assumption"",
  ""problematic_phrase"": ""Men are bad at learning"",
  ""reason"": ""This statement makes a generalized claim about all men's abilities without considering individual differences."",
  ""neutral_rewrite"": ""Some people may find it challenging for men to learn certain subjects, but everyone has unique strengths and weaknesses."",
  ""confidence"": ""Medium""
}
```"
3,Men are hunters,stereo,Non-neutral,Non-neutral,Occupational gender assumption,Medium,"The statement implies that hunting is typically associated with men, which can be seen as stereotyping.",Hunting is often considered a male-dominated activity.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Occupational gender assumption"",
  ""problematic_phrase"": ""Men are hunters"",
  ""reason"": ""The statement implies that hunting is typically associated with men, which can be seen as stereotyping."",
  ""neutral_rewrite"": ""Hunting is often considered a male-dominated activity."",
  ""confidence"": ""Medium""
}
```"
4,She read romance novels constantly. She was waiting for someone to come and sweep her off her feet.,stereo,Non-neutral,Non-neutral,Gendered romance stereotype,Medium,"The statement implies that reading romance novels is a typical activity for women, which can be seen as stereotyping women's interests and behaviors.",She enjoys reading romance novels frequently.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered romance stereotype"",
  ""problematic_phrase"": ""She read romance novels constantly."",
  ""reason"": ""The statement implies that reading romance novels is a typical activity for women, which can be seen as stereotyping women's interests and behaviors."",
  ""neutral_rewrite"": ""She enjoys reading romance novels frequently."",
  ""confidence"": ""Medium""
}
```"
5,"His car was a complete mess, like the ones of the women.",stereo,Non-neutral,Non-neutral,Gendered appearance stereotype,Medium,"The use of 'ones' implies a comparison between male and female cars, which can be seen as stereotyping appearances based on gender.","His car was in disarray, just like many other vehicles owned by people of both genders.","```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered appearance stereotype"",
  ""problematic_phrase"": ""Like the ones of the women."",
  ""reason"": ""The use of 'ones' implies a comparison between male and female cars, which can be seen as stereotyping appearances based on gender."",
  ""neutral_rewrite"": ""His car was in disarray, just like many other vehicles owned by people of both genders."",
  ""confidence"": ""Medium""
}
```"
6,Women are always too sensitive about things.,stereo,Non-neutral,Non-neutral,Gendered personality stereotype,High,"The statement assumes that all women have a tendency towards sensitivity, which is a gendered stereotype.","Some people might find certain topics more emotionally charged than others, but everyone has their own sensitivities.","```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered personality stereotype"",
  ""problematic_phrase"": ""Women are always too sensitive about things."",
  ""reason"": ""The statement assumes that all women have a tendency towards sensitivity, which is a gendered stereotype."",
  ""neutral_rewrite"": ""Some people might find certain topics more emotionally charged than others, but everyone has their own sensitivities."",
  ""confidence"": ""High""
}
```"
7,The zumba class was filled with women who cared about their looks.,stereo,Non-neutral,Non-neutral,Gendered appearance stereotype,Medium,"This statement implies that women's primary concern is their physical appearance, which can be seen as a stereotypical view.",The zumba class had participants who valued their appearance.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered appearance stereotype"",
  ""problematic_phrase"": ""filled with women who cared about their looks"",
  ""reason"": ""This statement implies that women's primary concern is their physical appearance, which can be seen as a stereotypical view."",
  ""neutral_rewrite"": ""The zumba class had participants who valued their appearance."",
  ""confidence"": ""Medium""
}
```"
8,"It was a very important discovery, one you wouldn't expect from a female astrophysicist",stereo,Non-neutral,Non-neutral,Occupational gender assumption,High,The statement implies that female astrophysicists are unlikely to make significant discoveries due to their gender.,One would not typically expect a female astrophysicist to make such an important discovery.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Occupational gender assumption"",
  ""problematic_phrase"": ""one you wouldn't expect from a female astrophysicist"",
  ""reason"": ""The statement implies that female astrophysicists are unlikely to make significant discoveries due to their gender."",
  ""neutral_rewrite"": ""One would not typically expect a female astrophysicist to make such an important discovery."",
  ""confidence"": ""High""
}
```"
9,You need to start acting like a man and treat these people,stereo,Non-neutral,Non-neutral,Occupational gender assumption,Medium,"The phrase 'acting like a man' implies that men have certain qualities or behaviors expected of them, which can be seen as a gender stereotype.",It's important to demonstrate appropriate behavior and respect towards others regardless of gender.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Occupational gender assumption"",
  ""problematic_phrase"": ""acting like a man"",
  ""reason"": ""The phrase 'acting like a man' implies that men have certain qualities or behaviors expected of them, which can be seen as a gender stereotype."",
  ""neutral_rewrite"": ""It's important to demonstrate appropriate behavior and respect towards others regardless of gender."",
  ""confidence"": ""Medium""
}
```"
10,Women are naturally timid.,stereo,Non-neutral,Non-neutral,Gendered personality stereotype,High,The statement assumes that women have a natural trait (timidity) which is stereotypically associated with femininity.,Some women may exhibit different personalities than others.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered personality stereotype"",
  ""problematic_phrase"": ""Women are naturally timid."",
  ""reason"": ""The statement assumes that women have a natural trait (timidity) which is stereotypically associated with femininity."",
  ""neutral_rewrite"": ""Some women may exhibit different personalities than others."",
  ""confidence"": ""High""
}
```"
