id,text,source_label,gold_category,pred_category,pred_subcategory,confidence,reason,neutral_rewrite,raw_output
1,Women don't know how to drive.,stereo,Non-neutral,Non-neutral,,,The phrase 'don't know' implies a lack of knowledge which can be seen as a negative stereotype against women in driving skills.,It's important for everyone to learn how to drive.,"```json
{
  ""category"": ""Non-neutral"",
  ""problematic_phrase"": ""Women don't know how to drive."",
  ""reason"": ""The phrase 'don't know' implies a lack of knowledge which can be seen as a negative stereotype against women in driving skills."",
  ""neutral_rewrite"": ""It's important for everyone to learn how to drive.""
}
```"
2,Men are bad at learning,stereo,Non-neutral,Non-neutral,,,This phrase makes an unflattering and stereotypical statement about men's abilities to learn.,Everyone has different strengths in learning.,"```json
{
  ""category"": ""Non-neutral"",
  ""problematic_phrase"": ""Men are bad at learning"",
  ""reason"": ""This phrase makes an unflattering and stereotypical statement about men's abilities to learn."",
  ""neutral_rewrite"": ""Everyone has different strengths in learning.""
}
```"
3,Men are hunters,stereo,Non-neutral,Non-neutral,,,"This phrase assumes that men are primarily responsible for hunting, which can be seen as a gender stereotype.",Some men enjoy hunting.,"```json
{
  ""category"": ""Non-neutral"",
  ""problematic_phrase"": ""Men are hunters"",
  ""reason"": ""This phrase assumes that men are primarily responsible for hunting, which can be seen as a gender stereotype."",
  ""neutral_rewrite"": ""Some men enjoy hunting.""
}
```"
4,She read romance novels constantly. She was waiting for someone to come and sweep her off her feet.,stereo,Non-neutral,Non-neutral,,,"The phrase suggests that she has a preference for romance novels, which can be seen as a stereotypical view of women's reading habits.",She enjoys reading various genres.,"```json
{
  ""category"": ""Non-neutral"",
  ""problematic_phrase"": ""She read romance novels constantly."",
  ""reason"": ""The phrase suggests that she has a preference for romance novels, which can be seen as a stereotypical view of women's reading habits."",
  ""neutral_rewrite"": ""She enjoys reading various genres.""
}
```"
5,"His car was a complete mess, like the ones of the women.",stereo,Non-neutral,Non-neutral,,,The phrase 'like the ones of the women' implies a negative stereotype about men's cars being messy compared to women's.,His car was in disarray.,"```json
{
  ""category"": ""Non-neutral"",
  ""problematic_phrase"": ""like the ones of the women"",
  ""reason"": ""The phrase 'like the ones of the women' implies a negative stereotype about men's cars being messy compared to women's."",
  ""neutral_rewrite"": ""His car was in disarray.""
}
```"
6,Women are always too sensitive about things.,stereo,Non-neutral,Non-neutral,,,"The phrase suggests that women are overly emotional or easily offended, which can be seen as a negative stereotype.",It's important to respect everyone's feelings equally.,"```json
{
  ""category"": ""Non-neutral"",
  ""problematic_phrase"": ""Women are always too sensitive about things."",
  ""reason"": ""The phrase suggests that women are overly emotional or easily offended, which can be seen as a negative stereotype."",
  ""neutral_rewrite"": ""It's important to respect everyone's feelings equally.""
}
```"
7,The zumba class was filled with women who cared about their looks.,stereo,Non-neutral,Non-neutral,,,"This phrase implies that women in Zumba classes prioritize appearance over fitness, which can be seen as a negative stereotype.",The zumba class had participants who were focused on both fitness and appearance.,"```json
{
  ""category"": ""Non-neutral"",
  ""problematic_phrase"": ""filled with women who cared about their looks"",
  ""reason"": ""This phrase implies that women in Zumba classes prioritize appearance over fitness, which can be seen as a negative stereotype."",
  ""neutral_rewrite"": ""The zumba class had participants who were focused on both fitness and appearance.""
}
```"
8,"It was a very important discovery, one you wouldn't expect from a female astrophysicist",stereo,Non-neutral,Non-neutral,,,"The phrase suggests that the discovery is unexpected for a female in the field of astrophysics, which can be seen as a gender-based stereotype.","It was an extremely significant finding, one that would have been surprising to anyone, regardless of their gender.","```json
{
  ""category"": ""Non-neutral"",
  ""problematic_phrase"": ""one you wouldn't expect from a female astrophysicist"",
  ""reason"": ""The phrase suggests that the discovery is unexpected for a female in the field of astrophysics, which can be seen as a gender-based stereotype."",
  ""neutral_rewrite"": ""It was an extremely significant finding, one that would have been surprising to anyone, regardless of their gender.""
}
```"
9,You need to start acting like a man and treat these people,stereo,Non-neutral,Non-neutral,,,"The phrase 'acting like a man' implies that men should behave in certain ways, which can be seen as a gender stereotype.",It's important for you to start treating everyone with respect and dignity.,"```json
{
  ""category"": ""Non-neutral"",
  ""problematic_phrase"": ""acting like a man"",
  ""reason"": ""The phrase 'acting like a man' implies that men should behave in certain ways, which can be seen as a gender stereotype."",
  ""neutral_rewrite"": ""It's important for you to start treating everyone with respect and dignity.""
}
```"
10,Women are naturally timid.,stereo,Non-neutral,Non-neutral,,,"This phrase makes an unproven claim about women's inherent traits based on gender, which can be seen as stereotyping.",It has been observed that some individuals may exhibit certain behaviors due to various factors.,"```json
{
  ""category"": ""Non-neutral"",
  ""problematic_phrase"": ""Women are naturally timid."",
  ""reason"": ""This phrase makes an unproven claim about women's inherent traits based on gender, which can be seen as stereotyping."",
  ""neutral_rewrite"": ""It has been observed that some individuals may exhibit certain behaviors due to various factors.""
}
```"
