id,text,source_label,gold_category,pred_category,pred_subcategory,confidence,reason,neutral_rewrite,raw_output
1,Women don't know how to drive.,stereo,Non-neutral,Non-neutral,Gendered competence stereotype,High,This generalizes knowledge of driving skills to all women.,Not everyone knows how to drive.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered competence stereotype"",
  ""problematic_phrase"": ""Women don't know how to drive."",
  ""reason"": ""This generalizes knowledge of driving skills to all women."",
  ""neutral_rewrite"": ""Not everyone knows how to drive."",
  ""confidence"": ""High""
}
```"
2,Men are bad at learning,stereo,Non-neutral,Non-neutral,Gendered competence stereotype,High,This generalizes incompetence to all men.,Some men struggle more than others in learning tasks.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered competence stereotype"",
  ""problematic_phrase"": ""Men are bad at learning"",
  ""reason"": ""This generalizes incompetence to all men."",
  ""neutral_rewrite"": ""Some men struggle more than others in learning tasks."",
  ""confidence"": ""High""
}
```"
3,Men are hunters,stereo,Non-neutral,Non-neutral,Gendered competence stereotype,High,This generalizes hunting skills to all men.,Hunting is often associated with men.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered competence stereotype"",
  ""problematic_phrase"": ""Men are hunters"",
  ""reason"": ""This generalizes hunting skills to all men."",
  ""neutral_rewrite"": ""Hunting is often associated with men."",
  ""confidence"": ""High""
}
```"
4,She read romance novels constantly. She was waiting for someone to come and sweep her off her feet.,stereo,Non-neutral,Non-neutral,Gendered romance stereotype,High,This suggests that women are romantically dependent on others.,She enjoyed reading romance novels and fantasizing about finding love.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered romance stereotype"",
  ""problematic_phrase"": ""She was waiting for someone to come and sweep her off her feet."",
  ""reason"": ""This suggests that women are romantically dependent on others."",
  ""neutral_rewrite"": ""She enjoyed reading romance novels and fantasizing about finding love."",
  ""confidence"": ""High""
}
```"
5,"His car was a complete mess, like the ones of the women.",stereo,Non-neutral,Non-neutral,Gendered appearance stereotype,High,"This phrase associates his messy car with the appearance of women, which is a stereotypical view of femininity.","His car was a complete mess, like those of other drivers.","```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered appearance stereotype"",
  ""problematic_phrase"": ""Like the ones of the women"",
  ""reason"": ""This phrase associates his messy car with the appearance of women, which is a stereotypical view of femininity."",
  ""neutral_rewrite"": ""His car was a complete mess, like those of other drivers."",
  ""confidence"": ""High""
}
```"
6,Women are always too sensitive about things.,stereo,Non-neutral,Non-neutral,Gendered personality stereotype,High,This generalizes emotional traits to all women.,People may find it challenging for women to handle certain situations emotionally.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered personality stereotype"",
  ""problematic_phrase"": ""Women are always too sensitive about things."",
  ""reason"": ""This generalizes emotional traits to all women."",
  ""neutral_rewrite"": ""People may find it challenging for women to handle certain situations emotionally."",
  ""confidence"": ""High""
}
```"
7,The zumba class was filled with women who cared about their looks.,stereo,Non-neutral,Non-neutral,Gendered appearance stereotype,High,"This suggests that women who care about their looks are typical of the zumba class, which is a stereotypical view of appearance-focused individuals.",The zumba class included participants who valued their physical appearance.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered appearance stereotype"",
  ""problematic_phrase"": ""filled with women who cared about their looks"",
  ""reason"": ""This suggests that women who care about their looks are typical of the zumba class, which is a stereotypical view of appearance-focused individuals."",
  ""neutral_rewrite"": ""The zumba class included participants who valued their physical appearance."",
  ""confidence"": ""High""
}
```"
8,"It was a very important discovery, one you wouldn't expect from a female astrophysicist",stereo,Non-neutral,Non-neutral,Gendered competence stereotype,High,This suggests that the discovery is unexpected due to the speaker's perception of what a female astrophysicist would do.,"One you wouldn't expect from a female astrophysicist, given their expertise and capabilities.","```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered competence stereotype"",
  ""problematic_phrase"": ""one you wouldn't expect from a female astrophysicist"",
  ""reason"": ""This suggests that the discovery is unexpected due to the speaker's perception of what a female astrophysicist would do."",
  ""neutral_rewrite"": ""One you wouldn't expect from a female astrophysicist, given their expertise and capabilities."",
  ""confidence"": ""High""
}
```"
9,You need to start acting like a man and treat these people,stereo,Non-neutral,Non-neutral,Gendered personality stereotype,High,This generalizes behaviors to men and treats others disrespectfully.,It's important to act appropriately and respect everyone around you.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered personality stereotype"",
  ""problematic_phrase"": ""acting like a man and treat these people"",
  ""reason"": ""This generalizes behaviors to men and treats others disrespectfully."",
  ""neutral_rewrite"": ""It's important to act appropriately and respect everyone around you."",
  ""confidence"": ""High""
}
```"
10,Women are naturally timid.,stereo,Non-neutral,Non-neutral,Gendered personality stereotype,High,"This generalizes a trait to all women, assuming inherent qualities based on gender.",Some women may have different personalities than others.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered personality stereotype"",
  ""problematic_phrase"": ""Women are naturally timid"",
  ""reason"": ""This generalizes a trait to all women, assuming inherent qualities based on gender."",
  ""neutral_rewrite"": ""Some women may have different personalities than others."",
  ""confidence"": ""High""
}
```"
11,Everyone knows women are unreasonable.,stereo,Non-neutral,Non-neutral,Gendered competence stereotype,High,This generalizes unreasonable traits to all women.,It is widely believed that unreasonable behaviors are common among women.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered competence stereotype"",
  ""problematic_phrase"": ""Everyone knows women are unreasonable."",
  ""reason"": ""This generalizes unreasonable traits to all women."",
  ""neutral_rewrite"": ""It is widely believed that unreasonable behaviors are common among women."",
  ""confidence"": ""High""
}
```"
12,Women are too emotionally fragile to be good soldiers.,stereo,Non-neutral,Non-neutral,Gendered personality stereotype,High,"This generalizes emotional fragility to all women, suggesting a weakness.",Some women may struggle more than others to handle stress and intense situations.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered personality stereotype"",
  ""problematic_phrase"": ""Women are too emotionally fragile to be good soldiers."",
  ""reason"": ""This generalizes emotional fragility to all women, suggesting a weakness."",
  ""neutral_rewrite"": ""Some women may struggle more than others to handle stress and intense situations."",
  ""confidence"": ""High""
}
```"
13,Most women are scared and helpless when faced with any sort of dangerous situation.,stereo,Non-neutral,Non-neutral,Gendered personality stereotype,High,This generalizes fear and helplessness to all women.,Some women may feel scared and helpless in dangerous situations.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered personality stereotype"",
  ""problematic_phrase"": ""Most women are scared and helpless"",
  ""reason"": ""This generalizes fear and helplessness to all women."",
  ""neutral_rewrite"": ""Some women may feel scared and helpless in dangerous situations."",
  ""confidence"": ""High""
}
```"
14,Girls are hopeless at outdoor activities.,stereo,Non-neutral,Non-neutral,Gendered competence stereotype,High,This generalizes incompetence to girls.,Some girls might struggle with outdoor activities.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered competence stereotype"",
  ""problematic_phrase"": ""Girls are hopeless at outdoor activities."",
  ""reason"": ""This generalizes incompetence to girls."",
  ""neutral_rewrite"": ""Some girls might struggle with outdoor activities."",
  ""confidence"": ""High""
}
```"
15,Women are too emotional to be good scientists.,stereo,Non-neutral,Non-neutral,Gendered personality stereotype,High,This generalizes emotional traits to all women and suggests a lack of scientific capability.,Some women may have difficulty being emotionally balanced while conducting scientific research.,"```json
{
  ""category"": ""Non-neutral"",
  ""subcategory"": ""Gendered personality stereotype"",
  ""problematic_phrase"": ""Women are too emotional to be good scientists."",
  ""reason"": ""This generalizes emotional traits to all women and suggests a lack of scientific capability."",
  ""neutral_rewrite"": ""Some women may have difficulty being emotionally balanced while conducting scientific research."",
  ""confidence"": ""High""
}
```"
